ref_x,ref_y,ref_theta,ref_curve
456604.6560,4425397.9159,-1.3182,-0.1464
456604.6982,4425397.7435,-1.3428,-0.1316
456604.7373,4425397.5656,-1.3656,-0.1181
456604.7735,4425397.3823,-1.3864,-0.1058
456604.8068,4425397.1935,-1.4056,-0.0947
456604.8374,4425396.9992,-1.4233,-0.0848
456604.8654,4425396.7994,-1.4395,-0.0759
456604.8909,4425396.5941,-1.4543,-0.0679
456604.9263,4425396.4760,-1.4375,-0.0596
456604.9368,4425396.3679,-1.4437,-0.0565
456604.9665,4425396.3943,-1.4172,-0.0567
456604.9928,4425396.2186,-1.4271,-0.0550
456605.0175,4425396.0416,-1.4368,-0.0532
456605.0407,4425395.8633,-1.4462,-0.0514
456605.0624,4425395.6836,-1.4553,-0.0495
456605.0825,4425395.5027,-1.4642,-0.0477
456605.1013,4425395.3204,-1.4728,-0.0458
456605.1185,4425395.1369,-1.4810,-0.0440
456605.1344,4425394.9520,-1.4890,-0.0421
456605.1490,4425394.7659,-1.4967,-0.0403
456605.1622,4425394.5785,-1.5041,-0.0385
456605.1741,4425394.3898,-1.5112,-0.0366
456605.1848,4425394.1998,-1.5180,-0.0348
456605.1942,4425394.0085,-1.5245,-0.0331
456605.2026,4425393.8160,-1.5307,-0.0313
456605.2097,4425393.6223,-1.5366,-0.0296
456605.2159,4425393.4273,-1.5422,-0.0279
456605.2209,4425393.2310,-1.5475,-0.0262
456605.2250,4425393.0335,-1.5525,-0.0246
456605.2282,4425392.8348,-1.5573,-0.0230
456605.2304,4425392.6349,-1.5617,-0.0214
456605.2319,4425392.4337,-1.5659,-0.0199
456605.2325,4425392.2313,-1.5697,-0.0184
456605.2323,4425392.0278,-1.5733,-0.0169
456605.2314,4425391.8230,-1.5766,-0.0155
456605.2299,4425391.6170,-1.5797,-0.0141
456605.2278,4425391.4099,-1.5824,-0.0127
456605.2251,4425391.2016,-1.5849,-0.0114
456605.2219,4425390.9921,-1.5872,-0.0101
456605.2182,4425390.7814,-1.5892,-0.0089
456605.2141,4425390.5696,-1.5910,-0.0077
456605.2097,4425390.3566,-1.5925,-0.0066
456605.2049,4425390.1425,-1.5938,-0.0055
456605.1998,4425389.9273,-1.5948,-0.0044
456605.1945,4425389.7109,-1.5957,-0.0034
456605.1890,4425389.4934,-1.5963,-0.0024
456605.1834,4425389.2748,-1.5967,-0.0014
456605.1777,4425389.0551,-1.5969,-0.0005
456605.1719,4425388.8342,-1.5969,0.0004
456605.1661,4425388.6123,-1.5968,0.0012
456605.1604,4425388.3893,-1.5964,0.0020
